words,answer,commonness,familiar,recognized
dagga,0,0.215,0.6,0.23
daggy,0,0.388,1.13,0.4
daily,1,0.987,2.98,0.98
daira,0,0.218,0.65,0.22
dairi,0,0.592,1.78,0.59
dairy,1,0.957,2.8,0.98
daisy,1,0.903,2.48,0.98
daiva,0,0.058,0.05,0.1
daker,0,0.133,0.26,0.18
dakir,0,0.057,0.07,0.09
dalar,0,0.167,0.46,0.18
daler,0,0.142,0.31,0.18
dalle,0,0.185,0.42,0.23
dally,1,0.8,2.16,0.88
daman,0,0.308,0.83,0.34
damie,0,0.132,0.31,0.16
damme,0,0.153,0.44,0.16
dampy,0,0.687,1.66,0.82
dance,1,0.992,2.98,0.99
danda,0,0.097,0.22,0.12
dandy,1,0.627,1.45,0.77
danio,0,0.13,0.27,0.17
danli,0,0.055,0.06,0.09
danta,0,0.153,0.38,0.18
darac,0,0.055,0.06,0.09
daraf,0,0.053,0.05,0.09
darat,0,0.13,0.3,0.16
darby,0,0.495,1.2,0.59
darer,0,0.483,1.13,0.59
daric,0,0.083,0.11,0.13
darky,0,0.623,1.34,0.8
daroo,0,0.09,0.21,0.11
darst,0,0.09,0.15,0.13
darts,0,0.815,2.07,0.94
dashy,0,0.368,1.07,0.38
dasnt,0,0.17,0.36,0.22
dassy,0,0.193,0.5,0.22
datch,0,0.19,0.57,0.19
dater,0,0.858,2.42,0.91
datil,0,0.117,0.25,0.15
datum,1,0.342,0.94,0.37
daube,0,0.23,0.78,0.2
dauby,0,0.127,0.22,0.18
daunt,1,0.563,1.43,0.65
daven,0,0.583,1.64,0.62
daver,0,0.43,1.05,0.51
davit,0,0.548,1.07,0.74
dawdy,0,0.372,1.0,0.41
dawny,0,0.212,0.34,0.31
dawut,0,0.053,0.08,0.08
dayal,0,0.057,0.07,0.09
dazed,0,0.807,2.08,0.92
deair,0,0.127,0.31,0.15
dealt,1,0.93,2.7,0.96
deary,0,0.75,1.83,0.89
deash,0,0.108,0.2,0.15
death,1,0.978,2.9,0.99
deave,0,0.13,0.3,0.16
debar,1,0.513,1.37,0.57
debby,0,0.79,1.98,0.92
deben,0,0.3,0.84,0.32
debit,1,0.888,2.48,0.95
debug,1,0.703,1.61,0.87
debus,0,0.147,0.31,0.19
debut,1,0.793,2.0,0.92
decad,0,0.222,0.46,0.29
decal,1,0.677,1.78,0.76
decan,0,0.162,0.37,0.2
decap,0,0.283,0.77,0.31
decay,1,0.828,2.12,0.95
decil,0,0.15,0.3,0.2
decke,0,0.248,0.89,0.2
decor,1,0.867,2.38,0.94
decoy,1,0.768,1.91,0.9
decry,1,0.185,0.45,0.22
decus,0,0.1,0.15,0.15
decyl,0,0.088,0.14,0.13
deedy,0,0.24,0.54,0.3
defat,0,0.122,0.28,0.15
defer,1,0.765,1.98,0.87
defog,0,0.623,1.76,0.66
degas,0,0.338,1.07,0.32
degum,0,0.083,0.17,0.11
deice,0,0.577,1.57,0.63
deify,0,0.282,0.94,0.25
deign,1,0.547,1.27,0.67
deink,0,0.117,0.25,0.15
deism,0,0.292,0.97,0.26
deist,0,0.28,0.93,0.25
deity,1,0.717,1.69,0.87
dekko,0,0.083,0.14,0.12
dekle,0,0.082,0.16,0.11
delay,1,0.977,2.92,0.98
delft,0,0.358,0.98,0.39
delta,1,0.802,2.02,0.93
delve,1,0.635,1.68,0.71
demal,0,0.132,0.22,0.19
demit,0,0.335,0.84,0.39
demob,0,0.277,0.79,0.29
demon,1,0.837,2.11,0.97
demos,0,0.598,1.58,0.67
demur,1,0.402,1.12,0.43
denat,0,0.152,0.31,0.2
denda,0,0.127,0.28,0.16
denim,1,0.928,2.66,0.97
dense,1,0.918,2.6,0.97
denty,0,0.323,0.68,0.42
deota,0,0.068,0.08,0.11
depas,0,0.075,0.15,0.1
depoh,0,0.077,0.16,0.1
depot,1,0.743,1.88,0.86
depth,1,0.943,2.72,0.98
derah,0,0.095,0.21,0.12
derat,0,0.113,0.26,0.14
deray,0,0.113,0.29,0.13
derby,1,0.783,1.94,0.92
deric,0,0.41,0.87,0.53
derma,0,0.313,0.74,0.38
derry,0,0.467,1.27,0.51
desex,0,0.088,0.17,0.12
desma,0,0.083,0.14,0.12
dessa,0,0.12,0.27,0.15
desyl,0,0.053,0.05,0.09
detar,0,0.077,0.16,0.1
detax,0,0.387,1.12,0.4
deter,1,0.825,2.16,0.93
detin,0,0.07,0.09,0.11
detox,1,0.838,2.24,0.93
detur,0,0.083,0.17,0.11
deuce,1,0.727,1.78,0.86
devil,1,0.952,2.74,0.99
devow,0,0.2,0.45,0.25
dewan,0,0.148,0.35,0.18
dewax,0,0.435,1.29,0.44
dewer,0,0.535,1.32,0.63
dhabb,0,0.087,0.16,0.12
dhava,0,0.05,0.06,0.08
dheri,0,0.057,0.07,0.09
dhobi,0,0.108,0.26,0.13
dhole,0,0.26,0.6,0.32
dhoni,0,0.202,0.34,0.29
dhoon,0,0.112,0.19,0.16
dhoti,0,0.158,0.59,0.12
dhoul,0,0.115,0.24,0.15
dhyal,0,0.092,0.19,0.12
diact,0,0.082,0.13,0.12
diamb,0,0.055,0.12,0.07
diary,1,0.922,2.59,0.98
dicer,0,0.77,2.01,0.87
dicey,1,0.618,1.52,0.73
dicky,0,0.657,1.57,0.79
dicot,0,0.292,0.79,0.32
dicta,0,0.212,0.43,0.28
diddy,0,0.708,1.97,0.76
didie,0,0.153,0.44,0.16
didle,0,0.838,2.33,0.9
didna,0,0.235,0.66,0.25
didnt,0,0.883,2.6,0.9
didst,0,0.163,0.17,0.27
didym,0,0.077,0.13,0.11
diene,0,0.16,0.27,0.23
dight,0,0.127,0.19,0.19
digit,1,0.932,2.68,0.97
diker,0,0.095,0.18,0.13
dildo,0,0.708,1.73,0.84
dilli,0,0.467,1.24,0.52
dilly,1,0.608,1.46,0.73
dimer,0,0.382,0.97,0.44
dimit,0,0.307,0.94,0.3
dimly,1,0.73,1.92,0.82
dimps,0,0.18,0.45,0.21
dinar,0,0.368,1.13,0.36
diner,1,0.853,2.24,0.96
dinge,0,0.152,0.37,0.18
dingo,1,0.552,1.33,0.66
dingy,1,0.687,1.72,0.8
dinic,0,0.075,0.12,0.11
dinky,0,0.572,1.51,0.64
dinus,0,0.517,1.18,0.64
diode,1,0.54,1.32,0.64
diose,0,0.105,0.21,0.14
diota,0,0.098,0.17,0.14
dioxy,0,0.217,0.46,0.28
dirge,1,0.425,1.11,0.48
dirty,1,0.995,3.0,0.99
disco,1,0.822,2.05,0.96
disme,0,0.268,0.59,0.34
disna,0,0.112,0.22,0.15
dital,0,0.115,0.21,0.16
ditch,1,0.897,2.5,0.96
diter,0,0.223,0.53,0.27
ditto,1,0.835,2.19,0.94
ditty,1,0.668,1.67,0.78
divan,0,0.5,1.32,0.56
divel,0,0.245,0.45,0.34
diver,1,0.845,2.19,0.96
divot,0,0.58,1.44,0.68
divus,0,0.09,0.15,0.13
divvy,0,0.437,1.33,0.43
dixie,0,0.758,1.82,0.91
dixit,0,0.31,0.87,0.33
dizen,0,0.098,0.26,0.11
dizzy,1,0.95,2.79,0.97
djave,0,0.132,0.28,0.17
dobby,0,0.647,1.6,0.76
dobla,0,0.105,0.21,0.14
dobra,0,0.113,0.2,0.16
doddy,0,0.228,0.56,0.27
dodge,1,0.902,2.5,0.97
dodgy,1,0.748,1.97,0.84
doest,0,0.218,0.38,0.31
dogal,0,0.113,0.26,0.14
doggo,0,0.6,1.53,0.69
doggy,0,0.902,2.5,0.97
dogie,0,0.162,0.34,0.21
dogly,0,0.292,0.7,0.35
dogma,1,0.677,1.72,0.78
doigt,0,0.143,0.26,0.2
doily,0,0.562,1.36,0.67
doina,0,0.08,0.09,0.13
doing,1,0.995,3.0,0.99
dolia,0,0.087,0.13,0.13
dolly,1,0.812,2.05,0.94
dolor,0,0.223,0.5,0.28
domal,0,0.107,0.22,0.14
domba,0,0.09,0.18,0.12
domer,0,0.217,0.55,0.25
domic,0,0.153,0.29,0.21
dompt,0,0.102,0.28,0.11
donax,0,0.05,0.03,0.09
donee,0,0.27,0.78,0.28
doney,0,0.283,0.62,0.36
donga,0,0.213,0.65,0.21
donna,0,0.875,2.4,0.95
donor,1,0.832,2.14,0.95
donum,0,0.157,0.25,0.23
donut,1,0.942,2.74,0.97
dooja,0,0.087,0.19,0.11
dooli,0,0.117,0.28,0.14
dooly,0,0.19,0.39,0.25
dooms,0,0.523,1.19,0.65
doper,0,0.542,1.51,0.58
dopey,1,0.778,1.91,0.92
dorab,0,0.062,0.07,0.1
dorad,0,0.127,0.28,0.16
doree,0,0.23,0.54,0.28
doria,0,0.325,0.93,0.34
dorje,0,0.07,0.12,0.1
dormy,0,0.385,0.96,0.45
dorts,0,0.575,1.5,0.65
dorty,0,0.22,0.51,0.27
doser,0,0.368,1.01,0.4
dosis,0,0.54,1.41,0.61
dotal,0,0.193,0.38,0.26
doted,0,0.668,1.67,0.78
doter,0,0.447,1.18,0.5
dotty,0,0.782,2.08,0.87
douar,0,0.088,0.14,0.13
doubt,1,0.98,2.94,0.98
douce,0,0.193,0.47,0.23
dough,1,0.953,2.78,0.98
douse,0,0.537,1.39,0.61
dover,0,0.748,1.79,0.9
dowdy,1,0.485,1.23,0.56
dowed,0,0.225,0.48,0.29
dowel,1,0.608,1.52,0.71
dower,0,0.312,0.79,0.36
dowie,0,0.123,0.2,0.18
downy,1,0.825,2.22,0.91
dowry,1,0.618,1.52,0.73
dowse,0,0.388,1.07,0.42
dozed,0,0.767,1.99,0.87
dozen,1,0.94,2.7,0.98
dozer,0,0.675,1.77,0.76
draff,0,0.177,0.37,0.23
draft,1,0.953,2.81,0.97
drago,0,0.42,1.17,0.45
drail,0,0.215,0.48,0.27
drain,1,0.973,2.93,0.97
drake,1,0.81,2.07,0.93
drama,1,0.967,2.86,0.98
dramm,0,0.16,0.39,0.19
drang,0,0.352,1.18,0.31
drank,1,0.973,2.9,0.98
drant,0,0.102,0.19,0.14
drape,1,0.813,2.12,0.92
drate,0,0.207,0.61,0.21
drawk,0,0.12,0.21,0.17
drawl,1,0.77,1.95,0.89
drawn,1,0.957,2.83,0.97
dread,1,0.818,2.03,0.96
dream,1,0.992,2.98,0.99
drear,0,0.61,1.41,0.75
dreep,0,0.265,0.6,0.33
dregs,0,0.567,1.48,0.64
dreng,0,0.112,0.25,0.14
dress,1,0.993,2.99,0.99
drest,0,0.57,1.5,0.64
drias,0,0.082,0.13,0.12
dried,1,0.977,2.92,0.98
drier,1,0.907,2.59,0.95
drift,1,0.905,2.55,0.96
drill,1,0.932,2.68,0.97
drink,1,0.995,3.0,0.99
drinn,0,0.103,0.17,0.15
drisk,0,0.185,0.45,0.22
drive,1,0.995,3.0,0.99
drogh,0,0.148,0.35,0.18
droit,1,0.28,0.6,0.36
droll,1,0.558,1.37,0.66
drome,0,0.322,0.85,0.36
drona,0,0.323,1.13,0.27
drone,1,0.825,2.13,0.94
drony,0,0.383,0.95,0.45
drool,1,0.895,2.46,0.97
droop,1,0.81,2.13,0.91
dropt,0,0.247,0.58,0.3
dross,1,0.428,1.13,0.48
droud,0,0.17,0.3,0.24
drouk,0,0.083,0.14,0.12
drove,1,0.96,2.82,0.98
drovy,0,0.193,0.35,0.27
drown,1,0.893,2.45,0.97
druid,1,0.563,1.4,0.66
drung,0,0.213,0.68,0.2
drunk,1,0.967,2.86,0.98
drupe,0,0.225,0.57,0.26
druse,0,0.177,0.43,0.21
drusy,0,0.16,0.42,0.18
druxy,0,0.07,0.12,0.1
dryad,0,0.255,0.78,0.25
dryas,0,0.092,0.1,0.15
dryer,1,0.965,2.88,0.97
dryly,1,0.703,1.73,0.83
dryth,0,0.078,0.14,0.11
duali,0,0.118,0.23,0.16
dubba,0,0.138,0.35,0.16
dubby,0,0.318,0.89,0.34
ducal,0,0.352,1.0,0.37
ducat,0,0.285,0.78,0.31
duces,0,0.148,0.29,0.2
duchy,1,0.597,1.42,0.72
dugal,0,0.097,0.25,0.11
duhat,0,0.117,0.34,0.12
dujan,0,0.065,0.09,0.1
dukhn,0,0.07,0.12,0.1
duler,0,0.12,0.27,0.15
dulia,0,0.075,0.12,0.11
dully,1,0.71,1.77,0.83
dulse,0,0.118,0.26,0.15
dumba,0,0.42,0.81,0.57
dummy,1,0.91,2.55,0.97
dumpy,1,0.592,1.45,0.7
dunal,0,0.113,0.26,0.14
dunce,1,0.67,1.56,0.82
dunch,0,0.212,0.49,0.26
dungy,0,0.563,1.4,0.66
dunne,0,0.602,1.36,0.75
dunny,0,0.445,1.08,0.53
dunst,0,0.502,1.3,0.57
duole,0,0.323,0.74,0.4
duper,0,0.588,1.49,0.68
dupla,0,0.115,0.21,0.16
duple,0,0.247,0.52,0.32
duppy,0,0.33,0.93,0.35
dural,0,0.265,0.6,0.33
durax,0,0.21,0.42,0.28
durra,0,0.105,0.18,0.15
durry,0,0.175,0.36,0.23
durst,0,0.608,1.46,0.73
duryl,0,0.11,0.18,0.16
dusio,0,0.058,0.08,0.09
dusky,1,0.693,1.73,0.81
dusty,1,0.95,2.79,0.97
dutch,1,0.872,2.32,0.97
dutra,0,0.095,0.15,0.14
duvet,1,0.758,2.06,0.83
dwale,0,0.185,0.39,0.24
dwalm,0,0.072,0.13,0.1
dwang,0,0.297,0.79,0.33
dwarf,1,0.812,1.99,0.96
dwell,1,0.763,1.97,0.87
dwelt,1,0.652,1.54,0.79
dwine,0,0.235,0.33,0.36
dying,1,0.943,2.72,0.98
dyker,0,0.327,0.88,0.36
eager,1,0.892,2.47,0.96
eagle,1,0.91,2.52,0.98
eagre,0,0.208,0.35,0.3
eared,0,0.628,1.58,0.73
early,1,0.987,2.98,0.98
earth,1,0.993,2.99,0.99
easel,1,0.702,1.75,0.82
easer,0,0.537,1.24,0.66
eaten,1,0.977,2.92,0.98
eater,1,0.893,2.48,0.96
eaved,0,0.552,1.51,0.6
eaver,0,0.368,0.92,0.43
eaves,0,0.712,1.84,0.81
ebony,1,0.74,1.77,0.89
echea,0,0.065,0.09,0.1
ecize,0,0.095,0.21,0.12
eclat,1,0.213,0.62,0.22
ecoid,0,0.1,0.21,0.13
ecole,0,0.438,1.19,0.48
ectad,0,0.053,0.08,0.08
ectal,0,0.055,0.06,0.09
edder,0,0.178,0.32,0.25
edema,0,0.3,0.96,0.28
edged,0,0.835,2.22,0.93
edger,0,0.648,1.67,0.74
edict,1,0.572,1.39,0.68
edify,1,0.365,1.08,0.37
educe,0,0.41,1.14,0.44
educt,0,0.122,0.22,0.17
eeler,0,0.155,0.33,0.2
eerie,1,0.79,1.95,0.93
egest,0,0.238,0.68,0.25
egger,0,0.517,1.57,0.51
egret,1,0.397,1.06,0.44
eider,0,0.308,0.89,0.32
eight,1,0.988,2.96,0.99
eigne,0,0.11,0.24,0.14
eimer,0,0.1,0.21,0.13
eject,1,0.803,2.03,0.93
ekaha,0,0.05,0.06,0.08
eking,1,0.473,1.37,0.49
elain,0,0.247,0.4,0.36
eland,0,0.293,0.89,0.29
elate,1,0.742,1.87,0.86
elbow,1,0.973,2.9,0.98
elder,1,0.845,2.19,0.96
eldin,0,0.122,0.19,0.18
elect,1,0.932,2.68,0.97
elegy,1,0.503,1.25,0.59
elemi,0,0.128,0.26,0.17
elfic,0,0.145,0.21,0.22
elfin,1,0.547,1.39,0.63
elide,1,0.36,1.08,0.36
elite,1,0.847,2.2,0.96
eloge,0,0.17,0.51,0.17
elope,1,0.687,1.99,0.71
elops,0,0.268,0.77,0.28
elsin,0,0.205,0.36,0.29
elude,1,0.687,1.81,0.77
elute,0,0.255,0.66,0.29
elvan,0,0.107,0.19,0.15
elver,0,0.192,0.46,0.23
elves,0,0.827,2.05,0.97
elvet,0,0.785,1.92,0.93
email,1,0.993,2.99,0.99
embar,0,0.145,0.39,0.16
embay,0,0.272,0.73,0.3
embed,1,0.803,2.06,0.92
ember,1,0.782,1.93,0.92
embog,0,0.048,0.08,0.07
embow,0,0.117,0.25,0.15
embox,0,0.108,0.23,0.14
embus,0,0.145,0.39,0.16
emcee,1,0.585,1.62,0.63
emeer,0,0.132,0.31,0.16
emend,0,0.342,1.06,0.33
emery,0,0.532,1.42,0.59
emmer,0,0.142,0.28,0.19
emmet,0,0.595,1.47,0.7
emote,0,0.748,1.94,0.85
empty,1,0.987,2.98,0.98
enact,1,0.625,1.56,0.73
enage,0,0.152,0.46,0.15
enapt,0,0.045,0.09,0.06
enarm,0,0.048,0.05,0.08
enate,0,0.14,0.3,0.18
encup,0,0.128,0.29,0.16
ended,0,0.98,2.94,0.98
ender,0,0.51,1.32,0.58
endew,0,0.103,0.23,0.13
endow,1,0.543,1.37,0.63
endue,0,0.358,1.01,0.38
enema,1,0.57,1.41,0.67
enemy,1,0.942,2.71,0.98
engem,0,0.092,0.25,0.1
enhat,0,0.068,0.11,0.1
eniac,0,0.252,0.64,0.29
enjoy,1,0.995,3.0,0.99
ennui,1,0.418,1.19,0.44
enoil,0,0.155,0.36,0.19
enorm,0,0.79,2.01,0.91
enray,0,0.177,0.37,0.23
enrib,0,0.062,0.13,0.08
enrol,0,0.672,1.66,0.79
enrut,0,0.075,0.15,0.1
ensky,0,0.082,0.1,0.13
ensue,1,0.625,1.59,0.72
entad,0,0.083,0.23,0.09
ental,0,0.248,0.65,0.28
enter,1,0.983,2.96,0.98
entia,0,0.068,0.08,0.11
entry,1,0.973,2.9,0.98
enure,0,0.17,0.42,0.2
envoy,1,0.66,1.53,0.81
enzym,0,0.258,0.74,0.27
eosin,0,0.137,0.31,0.17
epact,0,0.195,0.48,0.23
ephah,0,0.067,0.1,0.1
ephod,0,0.142,0.37,0.16
ephor,0,0.15,0.39,0.17
epoch,1,0.567,1.42,0.66
epode,0,0.112,0.25,0.14
epopt,0,0.063,0.11,0.09
epoxy,1,0.592,1.48,0.69
epulo,0,0.06,0.09,0.09
equal,1,0.978,2.93,0.98
equid,0,0.258,0.68,0.29
equip,1,0.887,2.41,0.97
erade,0,0.468,1.16,0.55
erase,1,0.973,2.9,0.98
erbia,0,0.113,0.2,0.16
erect,1,0.827,2.08,0.96
erept,0,0.157,0.31,0.21
ergal,0,0.04,0.03,0.07
ergon,0,0.177,0.4,0.22
ergot,0,0.238,0.65,0.26
erika,0,0.475,1.23,0.54
erizo,0,0.198,0.53,0.22
erode,1,0.778,2.0,0.89
erose,0,0.393,1.01,0.45
error,1,0.992,2.98,0.99
eruca,0,0.063,0.11,0.09
eruct,0,0.24,0.72,0.24
erupt,1,0.77,1.89,0.91
esere,0,0.057,0.1,0.08
eshin,0,0.042,0.04,0.07
esker,0,0.123,0.26,0.16
essay,1,0.918,2.57,0.98
essed,0,0.398,1.1,0.43
ester,1,0.437,1.09,0.51
estoc,0,0.067,0.07,0.11
estop,0,0.485,1.35,0.52
estre,0,0.157,0.46,0.16
estus,0,0.088,0.14,0.13
ethal,0,0.137,0.22,0.2
ethel,0,0.645,1.38,0.83
ether,1,0.68,1.53,0.85
ethic,1,0.75,1.77,0.91
ethid,0,0.125,0.21,0.18
ethos,1,0.49,1.35,0.53
ethyl,0,0.525,1.29,0.62
ettle,0,0.572,1.6,0.61
etude,1,0.43,1.11,0.49
eupad,0,0.057,0.1,0.08
eusol,0,0.052,0.04,0.09
evade,1,0.772,1.96,0.89
evase,0,0.698,1.82,0.79
evens,0,0.972,2.92,0.97
event,1,0.967,2.86,0.98
evert,0,0.577,1.54,0.64
every,1,0.99,3.0,0.98
evict,1,0.753,1.94,0.86
evoke,1,0.732,1.84,0.85
ewder,0,0.242,0.61,0.28
ewery,0,0.093,0.14,0.14
exact,1,0.977,2.92,0.98
exalt,1,0.58,1.47,0.67
excel,1,0.887,2.44,0.96
exdie,0,0.083,0.17,0.11
exeat,0,0.075,0.12,0.11
exert,1,0.753,1.97,0.85
exile,1,0.753,1.85,0.89
exist,1,0.957,2.8,0.98
exite,0,0.327,0.82,0.38
exlex,0,0.075,0.09,0.12
exode,0,0.278,0.71,0.32
exody,0,0.143,0.32,0.18
expel,1,0.793,2.0,0.92
exter,0,0.298,0.77,0.34
extol,1,0.448,1.16,0.51
extra,1,0.982,2.95,0.98
exude,0,0.637,1.72,0.7
exult,1,0.403,1.13,0.43
eying,1,0.795,2.1,0.89
eyoty,0,0.082,0.19,0.1
eyrie,0,0.307,0.94,0.3
eyrir,0,0.047,0.04,0.08
fabes,0,0.297,0.79,0.33
fable,1,0.792,1.93,0.94
faced,0,0.975,2.91,0.98
facer,0,0.615,1.53,0.72
facet,1,0.67,1.68,0.78
facia,0,0.297,0.7,0.36
facks,0,0.303,0.83,0.33
facty,0,0.165,0.39,0.2
faddy,0,0.55,1.5,0.6
faded,0,0.902,2.53,0.96
faden,0,0.127,0.31,0.15
fader,0,0.542,1.3,0.65
fadge,0,0.753,1.91,0.87
faery,0,0.5,0.9,0.7
faffy,0,0.338,0.95,0.36
fager,0,0.395,0.9,0.49
fagot,0,0.267,0.58,0.34
faham,0,0.073,0.14,0.1
fains,0,0.335,0.72,0.43
faint,1,0.908,2.54,0.97
fairm,0,0.283,0.71,0.33
fairy,1,0.843,2.15,0.97
faith,1,0.953,2.78,0.98
faker,0,0.898,2.51,0.96
fakir,0,0.442,1.15,0.5
fally,0,0.26,0.54,0.34
false,1,0.993,2.99,0.99
fanal,0,0.137,0.28,0.18
fanam,0,0.1,0.18,0.14
fancy,1,0.943,2.72,0.98
fangy,0,0.573,1.61,0.61
fanny,1,0.772,1.84,0.93
fanon,0,0.183,0.47,0.21
farad,0,0.317,0.82,0.36
farce,1,0.748,1.85,0.88
farcy,0,0.21,0.51,0.25
farde,0,0.178,0.41,0.22
fardh,0,0.07,0.12,0.1
fardo,0,0.125,0.24,0.17
farer,0,0.437,1.15,0.49
farmy,0,0.175,0.36,0.23
farse,0,0.542,1.21,0.68
fatal,1,0.885,2.4,0.97
fated,0,0.708,1.73,0.84
fatil,0,0.267,0.64,0.32
fatly,0,0.367,0.88,0.44
fatty,1,0.947,2.77,0.97
fatwa,0,0.342,1.15,0.3
faugh,0,0.285,0.78,0.31
fauld,0,0.473,1.49,0.45
fault,1,0.963,2.84,0.98
fauna,1,0.658,1.61,0.78
fause,0,0.365,0.93,0.42
faust,0,0.468,1.19,0.54
fauve,0,0.145,0.42,0.15
favor,1,0.948,2.81,0.96
favus,0,0.105,0.15,0.16
fawny,0,0.343,0.8,0.42
feast,1,0.852,2.2,0.97
featy,0,0.162,0.28,0.23
feaze,0,0.118,0.2,0.17
fecal,1,0.553,1.4,0.64
feces,0,0.738,1.7,0.91
feedy,0,0.483,1.31,0.53
feere,0,0.178,0.35,0.24
feeze,0,0.722,1.81,0.84
feign,1,0.627,1.63,0.71
feint,0,0.598,1.52,0.69
feist,0,0.493,1.43,0.51
felid,0,0.167,0.4,0.2
fella,1,0.803,2.09,0.91
felly,0,0.265,0.51,0.36
felon,1,0.713,1.85,0.81
felty,0,0.688,1.76,0.79
femic,0,0.077,0.1,0.12
femme,1,0.39,1.05,0.43
femur,1,0.493,1.28,0.56
fence,1,0.983,2.96,0.98
fendy,0,0.348,1.1,0.33
fenks,0,0.078,0.14,0.11
fenny,0,0.475,1.26,0.53
feoff,0,0.062,0.1,0.09
feral,1,0.66,1.71,0.75
feria,0,0.283,0.74,0.32
ferie,0,0.203,0.47,0.25
ferly,0,0.078,0.08,0.13
ferme,0,0.272,0.88,0.25
ferny,0,0.498,1.25,0.58
ferri,0,0.18,0.45,0.21
ferry,1,0.813,2.06,0.94
fetal,1,0.663,1.67,0.77
fetch,1,0.94,2.73,0.97
fetid,1,0.47,1.29,0.51
fetor,0,0.148,0.29,0.2
fetus,1,0.762,1.9,0.89
feuar,0,0.077,0.19,0.09
feued,0,0.18,0.36,0.24
fever,1,0.975,2.91,0.98
fewer,1,0.967,2.86,0.98
fezzy,0,0.457,1.3,0.48
fiard,0,0.12,0.24,0.16
fiber,1,0.947,2.8,0.96
fibry,0,0.112,0.16,0.17
fiche,0,0.233,0.68,0.24
fichu,0,0.083,0.17,0.11
ficus,1,0.36,1.11,0.35
fidge,0,0.407,1.12,0.44
field,1,0.982,2.95,0.98
fiend,1,0.787,1.93,0.93
fient,0,0.132,0.25,0.18
fiery,1,0.822,2.11,0.94
fifer,0,0.197,0.43,0.25
fifie,0,0.175,0.33,0.24
fifth,1,0.957,2.8,0.98
fifty,1,0.975,2.88,0.99
figgy,0,0.547,1.21,0.69
fight,1,0.993,2.99,0.99
fikie,0,0.087,0.16,0.12
filao,0,0.088,0.2,0.11
filar,0,0.145,0.27,0.2
filch,0,0.473,1.28,0.52
filer,1,0.762,2.11,0.82
filet,1,0.743,1.94,0.84
filly,1,0.565,1.29,0.7
filmy,1,0.682,1.81,0.76
filth,1,0.878,2.36,0.97
final,1,0.98,2.94,0.98
finch,1,0.713,1.73,0.85
finer,1,0.903,2.57,0.95
finis,0,0.393,0.95,0.47
finny,0,0.42,1.11,0.47
fiord,0,0.37,1.11,0.37
fique,0,0.122,0.22,0.17
firca,0,0.095,0.18,0.13
fired,0,0.977,2.92,0.98
firer,0,0.763,1.94,0.88
firry,0,0.87,2.43,0.93
first,1,0.993,2.99,0.99
firth,0,0.358,0.98,0.39
fishy,1,0.933,2.69,0.97
fisty,0,0.648,1.43,0.82
fitch,0,0.498,1.28,0.57
fitly,0,0.455,1.08,0.55
fitty,0,0.315,0.6,0.43
fiver,0,0.75,1.98,0.84
fives,0,0.832,2.2,0.93
fixed,0,0.985,2.97,0.98
fixer,1,0.83,2.31,0.89
fizzy,1,0.9,2.55,0.95
fjeld,0,0.113,0.26,0.14
fjord,1,0.595,1.53,0.68
flack,1,0.648,1.73,0.72
flaff,0,0.463,1.34,0.48
flail,1,0.507,1.24,0.6
flair,1,0.762,1.96,0.87
flake,1,0.943,2.75,0.97
flaky,1,0.84,2.25,0.93
flamb,0,0.182,0.55,0.18
flame,1,0.983,2.96,0.98
flamy,0,0.145,0.3,0.19
flane,0,0.145,0.39,0.16
flank,1,0.768,1.97,0.88
flare,1,0.862,2.32,0.95
flary,0,0.158,0.35,0.2
flash,1,0.972,2.89,0.98
flask,1,0.782,1.9,0.93
flavo,0,0.365,0.87,0.44
flawn,0,0.187,0.34,0.26
flawy,0,0.84,2.28,0.92
flaxy,0,0.212,0.52,0.25
fleam,0,0.108,0.17,0.16
fleay,0,0.138,0.23,0.2
fleck,1,0.718,1.85,0.82
fleer,0,0.49,1.59,0.45
fleet,1,0.85,2.22,0.96
flesh,1,0.905,2.52,0.97
flews,0,0.828,2.3,0.89
flick,1,0.935,2.73,0.96
flier,1,0.792,2.02,0.91
flimp,0,0.098,0.23,0.12
fling,1,0.858,2.3,0.95
flint,1,0.777,1.9,0.92
flipe,0,0.23,0.72,0.22
flirt,1,0.917,2.59,0.97
flisk,0,0.12,0.21,0.17
flite,0,0.473,1.1,0.58
float,1,0.948,2.78,0.97
flock,1,0.843,2.21,0.95
floey,0,0.175,0.42,0.21
flong,0,0.098,0.14,0.15
flood,1,0.943,2.72,0.98
floor,1,0.995,3.0,0.99
flora,1,0.768,1.88,0.91
flory,0,0.252,0.46,0.35
flosh,0,0.195,0.48,0.23
floss,1,0.858,2.36,0.93
flota,0,0.348,1.16,0.31
flour,1,0.99,2.97,0.99
flout,1,0.55,1.41,0.63
flown,1,0.86,2.31,0.95
flued,0,0.298,0.74,0.35
fluer,0,0.273,0.5,0.38
fluey,0,0.108,0.17,0.16
fluff,1,0.92,2.61,0.97
fluid,1,0.938,2.75,0.96
fluke,1,0.745,1.83,0.88
fluky,0,0.59,1.56,0.66
flume,1,0.438,1.16,0.49
flump,0,0.282,0.85,0.28
flung,1,0.79,2.01,0.91
flunk,1,0.778,2.06,0.87
fluor,0,0.187,0.34,0.26
flurn,0,0.082,0.1,0.13
flurr,0,0.622,1.54,0.73
flush,1,0.945,2.76,0.97
flusk,0,0.378,0.98,0.43
